Model	Displ	Cyl	Trans	Drive	Fuel	Cert Region	Stnd	Stnd Description	Underhood ID	Veh Class	Air Pollution Score	City MPG	Hwy MPG	Cmb MPG	Greenhouse Gas Score	SmartWay	Comb CO2
ACURA TLX FWD A-SPEC	3.5	6	SemiAuto-9	2WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	KHNXV03.5HH3	small car	3	20	30	23	5	No	381
ACURA TLX FWD A-SPEC	3.5	6	SemiAuto-9	2WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	KHNXV03.5HH3	small car	3	20	30	23	5	No	381
ALFA ROMEO 4C	1.8	4	AutoMan-6	2WD	Gasoline	CA	L2	California LEV-II LEV	KCRXV01.85P0	small car	1	24	34	28	6	No	317
ALFA ROMEO 4C	1.8	4	AutoMan-6	2WD	Gasoline	FA	T3B160	Federal Tier 3 Bin 160	KCRXV01.85P0	small car	1	24	34	28	6	No	317
ALFA ROMEO Giulia	2	4	Auto-8	2WD	Gasoline	FA	T3B110	Federal Tier 3 Transitional Bin 110	KCRXJ02.05P2	midsize car	3	24	33	27	6	No	330
ALFA ROMEO Giulia	2.9	6	Auto-8	2WD	Gasoline	CA	L2ULEV125	California LEV-II ULEV125	KCRXJ02.95P0	midsize car	3	17	24	20	4	No	451
ALFA ROMEO Giulia	2.9	6	Auto-8	2WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	KCRXJ02.95P0	midsize car	3	17	24	20	4	No	451
ALFA ROMEO Giulia	2.9	6	Auto-8	2WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	KCRXJ02.95P0	midsize car	3	17	24	20	4	No	451
ALFA ROMEO Giulia AWD	2	4	Auto-8	4WD	Gasoline	FA	T3B110	Federal Tier 3 Transitional Bin 110	KCRXJ02.05P2	midsize car	3	23	31	26	5	No	348
ALFA ROMEO Stelvio	2	4	Auto-8	2WD	Gasoline	FA	T3B110	Federal Tier 3 Transitional Bin 110	KCRXJ02.05P2	small SUV	3	22	29	25	5	No	359
